id,nombre,descripcion,precio,precio_oferta,disponibilidad,cantidad_disponible,enlace_producto,estado
1,Remera 3D glierts niña,Remera 3D glierts niña,4500,3500,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
2,Oxford engomado dama,Oxford engomado dama,13990,12990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
3,Biker larga push up,Biker larga push up,6900,5900,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
4,Camiseta dama talle especial,Camiseta dama talle especial,7990,6990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
5,Palazo brilloso dama,Palazo brilloso dama,14900,13900,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
6,Baggy jeans niño,Baggy jeans niño,15990,14990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
7,Calza frunce push up,Calza frunce push up,10900,9900,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
8,Boxer nene,Boxer nene,2990,2500,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
9,Pijama dama,Pijama dama,8990,7990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
10,Medias nena,Medias nena,1990,1500,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
11,Buzo friza niño,Buzo friza niño,9990,8990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
12,Campera plush,Campera plush,11990,10990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
13,Pijama niño,Pijama niño,8990,7990,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
14,Conjunto acetato frizado,Conjunto acetato frizado,14990,13990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
15,Campera bengalina,Campera bengalina,12990,11990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
16,Remera modal,Remera modal,5990,4990,disponible,1,https://wa.me/p/30218501511074099/5491155604271,activo
17,Short de baño,Short de baño,6990,5990,disponible,1,https://wa.me/p/23990096693995039/5491155604271,activo
18,Musculosa morley,Musculosa morley,4990,3990,disponible,1,https://wa.me/p/24089495657312538/5491155604271,activo
19,Body vip dama,Body vip dama,8990,7990,disponible,1,https://wa.me/p/24192956657066234/5491155604271,activo
20,Buzo friza colores,Buzo friza colores,11990,10990,disponible,1,https://wa.me/p/9871604656242371/5491155604271,activo
21,Campera hombre universit,Campera hombre universit,19000,18000,disponible,1,https://wa.me/p/30605791512402895/5491155604271,activo
22,Chaleco niña piel,Chaleco niña piel,16990,15990,disponible,1,https://wa.me/p/24587279020903185/5491155604271,activo
